NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_FDT_PRES,PORCENTAJE_FDT_PRES
COMUNA 01,122034,42299,34.66
COMUNA 02,104294,19615,18.81
COMUNA 03,117157,43139,36.82
COMUNA 04,136899,57837,42.25
COMUNA 05,121975,43785,35.9
COMUNA 06,127594,38548,30.21
COMUNA 07,134121,47901,35.71
COMUNA 08,107120,51803,48.36
COMUNA 09,116632,44797,38.41
COMUNA 10,118733,40478,34.09
COMUNA 11,137736,42788,31.07
COMUNA 12,152159,45793,30.1
COMUNA 13,168762,36370,21.55
COMUNA 14,156784,35605,22.71
COMUNA 15,128547,47133,36.67
